Release_quarter,net_sales,cost_of_sales,gross_profit,cash_and_temporary_investment,trade_accounts_receivables,other_receivables,inventories,other_current_assets,fixed_assets,other_assets,total_liabilities,consolidated_stockholder_equity,profit_margin,average_price_per_ton,number_of_unit_sold,unit_cost,unit_profit
2020_Q2,2911549,1979449,932100,2831766,1550826,313995,929020,143058,11105890,12729479,19742516,10217305,0.3201389,125.0,23292392.0,84.98264154235426,40.01735845764574
2020_Q3,3436215,2260030,1176185,3453181,1610250,447674,934195,135592,10723930,11780909,20423582,8809459,0.3422909,125.0,27489720.0,82.21364204509904,42.786357954900964
2020_Q4,3537455,2432371,1105084,950366,1532832,477094,970623,116293,11412726,11778137,18473918,8951563,0.3123952,125.0,28299640.0,85.95059866485934,39.04940133514066
2021_Q1,3411030,2301971,1109059,1308733,1631961,406358,1073814,131157,11160912,11693668,17987728,9574639,0.325139,130.0,26238692.307692308,87.7319255474153,42.2680744525847
2021_Q2,3855305,2554654,1300651,1304657,1701960,525356,1132506,168982,11202042,11712048,17468829,10441034,0.3373666,130.0,29656192.307692308,86.14234671446228,43.85765328553772
2021_Q3,3768556,2550034,1218522,869248,1659402,568696,1212196,138453,11050641,11219033,16788813,9991492,0.3233392,130.0,28988892.307692308,87.96589993620898,42.034100063791016
2021_Q4,3618235,2528213,1090022,612820,1520974,557814,1260673,132331,11322109,11103010,16379252,10271118,0.3012579,130.0,27832576.92307692,90.83646860969506,39.16353139030494
2022_Q1,3769992,2610463,1159529,592863,1793924,580605,1393335,139446,11354360,11175666,16660504,10516369,0.307568,141.46,26650586.73830058,97.95142694732509,43.50857305267492
2022_Q2,4079511,2807111,1272400,489698,1866859,607496,1500476,214079,11144125,11021675,16409456,10577302,0.3119001,141.46,28838618.69079598,97.33860799983137,44.12139200016864
2022_Q3,3955565,2750252,1205313,396813,1814788,612556,1571880,164997,10941920,10877509,15686529,10916503,0.3047132,141.46,27962427.541354444,98.35526604164008,43.10473395835993
2022_Q4,3868517,2660572,1207945,494920,1644491,535065,1668658,113664,11284126,10637602,15538582,10908869,0.3122501,141.46,27347073.37763325,97.28909427566171,44.1709057243383
2023_Q1,4035801,2746129,1289672,757806,1909796,525142,1767411,139373,11639315,10698612,15353809,12134522,0.3195579,134.53,29999264.10466067,91.53987879233887,42.99012120766113
2023_Q2,4566076,2987160,1578916,470793,2096332,630660,1823398,187470,11994582,10708809,15497709,12463939,0.3457928,134.53,33940949.973983504,88.01050065745729,46.519499342542716
2023_Q3,4570546,3009642,1560904,532512,2018808,586574,1734619,158398,11876465,10702242,15156758,12501858,0.3415137,134.53,33974176.76354716,88.58616416069329,45.943835839306715
2023_Q4,4243201,2811609,1431592,623933,1751468,649674,1789303,142197,12465655,10962343,16290314,12143084,0.3373849,134.53,31540927.67412473,89.14160766129156,45.38839233870844
2024_Q1,4137511,2747949,1389562,475689,1943641,766660,1800148,147083,12458810,10960028,16490290,12112267,0.3358449,132.04,31335284.762193277,87.69503838418798,44.34496161581201
